"customer_id","monetary","frequency","basket_items_mean","basket_items_p95","aov","recency_days","category_diversity","hhi_rev","entropy_rev","returns_abs","returns_cnt","returns_net","returns_ratio","monetary_log","aov_log","frequency_log","returns_abs_log"
12346,497.66,12,15.8333333333333,64.4499999999999,41.4716666666667,325.117361111111,26,0.235016060510616,2.15707368200874,330.87,5,-77621.14,0.00426262742340553,6.21192450079299,3.74883718694267,2.56494935746154,5.80474332596934
12347,5508.52,8,395.75,662.7,688.565,1.87361111111111,126,0.0193263808488308,4.41182057080795,0,0,0,0,8.61423278401472,6.53606096400113,2.19722457733622,0
12348,1779.64,5,514,1065.8,355.928,75.0256944444444,28,0.0690117095262629,2.96180759424039,0,0,0,0,7.48472812922511,5.87753408076709,1.79175946922805,0
12349,3642.94,4,406,614.2,910.735,18.1243055555556,145,0.0106124458526438,4.76946238736448,24.15,1,-24.15,1,8.20082079282168,6.8153493776752,1.6094379124341,3.22485789654575
12350,312.4,1,197,197,312.4,309.867361111111,17,0.0630038231952535,2.79586703551404,0,0,0,0,5.74748032992192,5.74748032992192,0.693147180559945,0
12351,300.93,1,261,261,300.93,374.89375,21,0.0511787101695441,3.00821500854963,0,0,0,0,5.71019520242839,5.71019520242839,0.693147180559945,0
12352,1909.54,10,72.4,119.8,190.954,35.9256944444444,70,0.0208819652341453,4.07227426225262,174.33,3,-960.63,0.181474657256176,7.55514120359529,5.25725575998978,2.39789527279837,5.16666991248204
12353,406.76,2,106,183.4,203.38,203.835416666667,23,0.0562177680820837,3.00053957201265,0,0,0,0,6.01067876603179,5.31998100618406,1.09861228866811,0
12354,1079.4,1,530,530,1079.4,232.027083333333,58,0.0209271105980584,3.97473593635214,0,0,0,0,6.98508662191846,6.98508662191846,0.693147180559945,0
12355,947.61,2,271.5,299.85,473.805,214.000694444444,35,0.0470818279719792,3.3133116180805,0,0,0,0,6.85499775523907,6.16290419342985,1.09861228866811,0
12356,6333.68,6,569.5,1122,1055.61333333333,22.1736111111111,104,0.0362371094444341,3.93328669521643,0,0,0,0,8.75379457845652,6.96282410374328,1.94591014905531,0
12357,17448.66,3,2195.66666666667,3761,5816.22,32.8631944444444,264,0.00813679974439096,5.13522813725897,0,0,0,0,9.76707544320007,8.66857776337782,1.38629436111989,0
12358,3645.07,5,215.8,303.4,729.014,1.1,56,0.105359198178907,2.87011522043307,0,0,0,0,8.20140515417663,6.59306371204073,1.79175946922805,0
12359,7699.79,10,259.2,570.6,769.979,57.04375,310,0.00889843362863778,5.43537342982333,169.35,4,-221.05,0.766116263288849,8.94907819998162,6.6476611358383,2.39789527279837,5.13785514410698
12360,3911.69,8,307.375,613,488.96125,51.9361111111111,163,0.0152164955408715,4.7184159994497,18,1,-40,0.45,8.27198039596962,6.1943263063449,2.19722457733622,2.94443897916644
12361,511.25,4,58.75,86.5,127.8125,286.957638888889,19,0.0657679951698041,2.83129586627292,0,0,0,0,6.23881278711901,4.85835785865068,1.6094379124341,0
12362,5222.49,11,202.727272727273,307.5,474.771818181818,2.88194444444444,201,0.0156109940969792,4.92299908578368,71.65,3,-71.65,1,8.56092103985054,6.16493836572757,2.484906649788,4.28565339001629
12363,552,2,204,274.2,276,109.147222222222,23,0.0613914933837429,2.9758996673157,0,0,0,0,6.31535800152233,5.62401750618734,1.09861228866811,0
12364,1291.5,4,361.5,547.05,322.875,7.10277777777778,70,0.022498874786436,4.05358803015049,0,0,0,0,7.16433360638258,5.78035763888227,1.6094379124341,0
12365,338.69,2,87,164.4,169.345,290.948611111111,22,0.0474506636775085,3.06521242427863,18,1,-320.69,0.0561289719043313,5.82803343699406,5.13782579234073,1.09861228866811,2.94443897916644
12366,500.24,1,296,296,500.24,633.098611111111,3,0.33382030679328,1.09788814934931,0,0,0,0,6.21708502829708,6.21708502829708,0.693147180559945,0
12367,168.9,1,173,173,168.9,3.83472222222222,11,0.102095157570614,2.33884328907127,0,0,0,0,5.13521002867789,5.13521002867789,0.693147180559945,0
12368,917.7,1,330,330,917.7,627.870833333333,18,0.0728515980363139,2.73411296717842,0,0,0,0,6.82295962727742,6.82295962727742,0.693147180559945,0
12369,1637.15,3,413.666666666667,872.3,545.716666666667,413.025694444444,90,0.0248625188057656,4.20372065811402,0,0,0,0,7.40132283531185,6.30393069138225,1.38629436111989,0
12370,4051.75,7,324.142857142857,842.6,578.821428571429,50.9576388888889,170,0.0134209682897593,4.75054636396508,0,0,0,0,8.30715094202168,6.36272017436174,2.07944154167984,0
12371,3671.38,5,287.2,590.8,734.276,44.1486111111111,136,0.0173381652872447,4.58205424704835,0,0,0,0,8.20859523222487,6.60024593893061,1.79175946922805,0
12372,1298.04,3,264.666666666667,353.6,432.68,71.0680555555556,34,0.056271844464778,3.12097272622599,0,0,0,0,7.16938080911414,6.07230693495208,1.38629436111989,0
12373,1017.65,3,172,206.9,339.216666666667,310.986111111111,38,0.0419839597719424,3.39870644754797,0,0,0,0,6.92623350022791,5.82958266955148,1.38629436111989,0
12374,2813.22,4,340.5,729.6,703.305,24.8840277777778,80,0.0198609399273729,4.14439583449635,0,0,0,0,7.94244041514434,6.55721150097365,1.6094379124341,0
12375,413.5,2,89,90.8,206.75,10.0930555555556,14,0.101259809132235,2.4478597292712,2.08,1,-2.08,1,6.02707297457535,5.33633543373556,1.09861228866811,1.12492959698548
12376,437.15,2,120,194.7,218.575,389.024305555556,11,0.138787836203506,2.14904419859768,0,0,0,0,6.08256131750186,5.39169385980318,1.09861228866811,0
12377,3338.32,4,526.25,800.35,834.58,314.878472222222,129,0.0118082288123883,4.6306023731604,0,0,0,0,8.11352247242854,6.72812609449889,1.6094379124341,0
12378,5325.19,2,1574,2282.3,2662.595,129.136111111111,295,0.00409398296731858,5.59861851506857,0,0,0,0,8.58039143978939,7.88743199307597,1.09861228866811,0
12379,1620.22,4,203.75,239.9,405.055,81.1534722222222,64,0.0268016950367992,3.91674567017878,1.95,1,-1.95,1,7.39093423121889,6.00648861840707,1.6094379124341,1.08180517035173
12380,7751.55,11,305,715.5,704.686363636364,21.0576388888889,178,0.0164562502152331,4.69881061542578,297.65,4,-1788.3,0.166442990549684,8.95577710048621,6.55917089464645,2.484906649788,5.69927231917831
12381,1647.31,5,161.6,483.6,329.462,4.00416666666667,70,0.0269031052679167,4.00509866600033,41.35,1,-41.35,1,7.40750579957567,5.80049167537423,1.79175946922805,3.74596842109806
12383,1850.92,5,301.6,716.4,370.184,184.241666666667,84,0.0280009516028454,4.09030402862045,11.25,1,-11.25,1,7.52397821772885,5.91669789653479,1.79175946922805,2.50552593699074
12384,497.27,2,63,63.9,248.635,28.1743055555556,26,0.0519579013344002,3.1398013375358,19.11,1,-19.11,1,6.21114209877902,5.51999985102373,1.09861228866811,3.00121720378456
12385,1938.4,1,612,612,1938.4,378.9,65,0.0356830505444709,3.83087016622477,15,1,-15,1,7.57013392587045,7.57013392587045,0.693147180559945,2.77258872223978
12386,660.8,2,284,413.6,330.4,337.009027777778,10,0.120486613921639,2.21251845682544,0,0,0,0,6.49496339548751,5.80332610499246,1.09861228866811,0
12387,143.94,1,134,134,143.94,414.890972222222,9,0.1342085185209,2.10608076897485,0,0,0,0,4.97631986368114,4.97631986368114,0.693147180559945,0
12388,3903.03,8,250.125,460.85,487.87875,15.0138888888889,84,0.0199980101333844,4.16167959690182,0,0,0,0,8.26976463192969,6.19211450371872,2.19722457733622,0
12389,1433.33,3,204.666666666667,344.3,477.776666666667,402.040277777778,42,0.0528780669988358,3.33730570261984,0,0,0,0,7.26845312020776,6.17123423955286,1.38629436111989,0
12390,549.84,1,353,353,549.84,79.1784722222222,32,0.0365245672357176,3.39172137704435,0,0,0,0,6.31144438585893,6.31144438585893,0.693147180559945,0
12391,2617.72,6,203.333333333333,365.25,436.286666666667,21.0298611111111,245,0.0106573834114783,5.01036358872951,25.6,1,-25.6,1,7.87044092775757,6.08058896782522,1.94591014905531,3.28091121578765
12392,234.75,1,73,73,234.75,590.990277777778,7,0.214806679210317,1.71998377424968,0,0,0,0,5.46277192151357,5.46277192151357,0.693147180559945,0
12393,2399.45,6,218.5,336.75,399.908333333333,71.9229166666667,65,0.0288663178553953,3.84992912643446,22.7,1,-22.7,1,7.78341149876011,5.99373280599599,1.94591014905531,3.16547504814109
12394,1033.12,2,273.5,355.85,516.56,63.2375,26,0.091319081031138,2.75784597370234,0,0,0,0,6.94130610249322,6.24912546044775,1.09861228866811,0
12395,5046.28,15,248.866666666667,830.6,336.418666666667,18.8951388888889,151,0.0207932391505226,4.52114869367663,20.35,3,-20.35,1,8.52660476330347,5.82132449361607,2.77258872223978,3.06105173967463
12396,931.43,1,591,591,931.43,673.977777777778,65,0.016299142456674,4.14267410115283,0,0,0,0,6.83779408167617,6.83779408167617,0.693147180559945,0
12397,2409.9,2,631.5,696.75,1204.95,35.1236111111111,110,0.0198769803043572,4.4030280906487,0,0,0,0,7.78775540075525,7.09502291705785,1.09861228866811,0
12398,1525.66,1,1394,1394,1525.66,45.1409722222222,85,0.0179736882499175,4.25961780121457,0,0,0,0,7.33083762161836,7.33083762161836,0.693147180559945,0
12399,1963.98,7,314,519.2,280.568571428571,119.024305555556,70,0.0252951529198421,3.95592188232673,0,0,0,0,7.58323734613452,5.64037601091249,2.07944154167984,0
12400,205.25,1,91,91,205.25,414.003472222222,11,0.0972333137005019,2.36341930384289,0,0,0,0,5.32908902521479,5.32908902521479,0.693147180559945,0
