customer_id,cluster_kmeans
12346.0,3
12347.0,1
12348.0,1
12349.0,1
12350.0,3
12351.0,3
12352.0,1
12353.0,3
12354.0,4
12355.0,3
12356.0,4
12357.0,4
12358.0,1
12359.0,1
12360.0,1
12361.0,3
12362.0,1
12363.0,3
12364.0,1
12365.0,3
12366.0,3
12367.0,3
12368.0,3
12369.0,1
12370.0,1
12371.0,1
12372.0,3
12373.0,3
12374.0,1
12375.0,3
12376.0,3
12377.0,1
12378.0,4
12379.0,1
12380.0,1
12381.0,1
12383.0,1
12384.0,3
12385.0,4
12386.0,3
12387.0,3
12388.0,1
12389.0,3
12390.0,3
12391.0,1
12392.0,3
12393.0,1
12394.0,3
12395.0,1
12396.0,3
12397.0,4
12398.0,4
12399.0,1
12400.0,3
12401.0,0
12402.0,3
12403.0,3
12404.0,0
12405.0,4
12406.0,4
12407.0,3
12408.0,1
12409.0,4
12410.0,3
12411.0,3
12412.0,1
12413.0,3
12414.0,3
12415.0,4
12416.0,3
12417.0,1
12418.0,1
12419.0,3
12420.0,3
12421.0,3
12422.0,1
12423.0,1
12424.0,1
12425.0,1
12426.0,1
12427.0,3
12428.0,1
12429.0,1
12430.0,3
12431.0,1
12432.0,1
12433.0,4
12434.0,1
12435.0,4
12436.0,3
12437.0,1
12438.0,4
12439.0,3
12440.0,3
12441.0,3
12442.0,3
12443.0,3
12444.0,1
12445.0,3
12446.0,3
12447.0,3
12448.0,3
12449.0,1
12450.0,3
12451.0,4
12452.0,3
12453.0,3
12454.0,4
12455.0,1
12456.0,1
12457.0,1
12458.0,3
12459.0,3
12460.0,3
12461.0,3
12462.0,1
12463.0,1
12464.0,3
12465.0,3
12466.0,0
12467.0,3
12468.0,1
12469.0,4
12470.0,3
12471.0,1
12472.0,4
12473.0,1
12474.0,1
12475.0,3
12476.0,1
12477.0,4
12478.0,3
12479.0,3
12480.0,1
12481.0,4
12482.0,4
12483.0,1
12484.0,1
12485.0,3
12486.0,3
12487.0,0
12488.0,3
12489.0,3
12490.0,1
12491.0,3
12492.0,3
12493.0,3
12494.0,1
12495.0,3
12496.0,0
12497.0,4
12498.0,3
12499.0,3
12500.0,1
12501.0,4
